username,1,2,3,4,5,6,7,8,9,10,11,12
herbietime,5191110,2466258,1263125,638384,281700,108655,38014,10242,2192,300,20,0
thezirconisdragon,2074697,2171155,2116925,1910464,908055,432684,211870,104144,44943,18354,6032,677
pacc,1301049,2361512,2587268,2017290,952164,439508,200778,89029,34619,12850,3618,315
alecwilson,1209358,2309450,2423388,2001998,1123941,556264,243843,95928,28520,6519,771,20
empireyikesback,100340,300327,652351,1275076,2215778,2300439,1551716,906495,443471,187408,59043,7556
therealfergus,79027,231050,524234,1112273,2232044,2101218,1603096,1077066,611100,301181,112416,15295
mackjyers21,29770,97803,239929,529663,1024433,1574398,2006172,2136204,1266054,688986,334023,72565
burgertownthicnred,12441,50768,148201,374902,863380,1594773,2346878,2212003,1351781,705852,291124,47897
shakylegs,1832,8321,27895,79198,204288,428686,818694,1486333,2669906,2335301,1514670,424876
namebrant,340,2944,13802,46325,136744,302059,591635,1072327,1910769,2822535,2315996,784524
tonygordzilla22,36,403,2825,14000,54992,151888,361161,736419,1446341,2425927,3904713,901295
black8yellownation,0,9,57,427,2481,9428,26143,73810,190304,494787,1457574,7744980
