username,1,2,3,4,5,6,7,8,9,10,11,12
herbietime,6,0,1,2,1,0,0,0,0,0,0,0
pacc,2,1,5,1,1,0,0,0,0,0,0,0
thezirconisdragon,1,5,1,2,0,1,0,0,0,0,0,0
alecwilson,1,3,1,2,3,0,0,0,0,0,0,0
empireyikesback,0,1,1,1,2,4,1,0,0,0,0,0
therealfergus,0,0,1,1,2,2,1,1,1,1,0,0
mackjyers21,0,0,0,1,1,1,2,0,1,4,0,0
burgertownthicnred,0,0,0,0,0,1,4,2,3,0,0,0
shakylegs,0,0,0,0,0,1,1,3,0,2,3,0
namebrant,0,0,0,0,0,0,1,2,3,2,1,1
tonygordzilla22,0,0,0,0,0,0,0,2,2,1,4,1
black8yellownation,0,0,0,0,0,0,0,0,0,0,2,8
