username,1,2,3,4,5,6,7,8,9,10,11,12
herbietime,258,123,71,35,11,1,1,0,0,0,0,0
thezirconisdragon,92,109,112,98,53,18,9,4,2,3,0,0
pacc,73,102,139,107,38,25,13,1,2,0,0,0
alecwilson,65,132,109,96,51,31,10,5,1,0,0,0
empireyikesback,5,17,29,68,120,117,73,36,25,7,1,2
therealfergus,5,9,27,56,115,106,79,58,25,11,7,2
mackjyers21,1,6,7,25,51,80,88,127,63,31,21,0
burgertownthicnred,1,2,3,8,41,83,120,103,76,47,13,3
shakylegs,0,0,3,2,8,16,54,72,121,115,81,28
namebrant,0,0,0,4,10,14,31,53,102,134,118,34
tonygordzilla22,0,0,0,1,2,8,22,38,68,123,177,61
black8yellownation,0,0,0,0,0,1,0,3,15,29,82,370
